Cluster,Stylisation,Indicator,Dimension,Lag,Year,FE,N_author,Impact,SE,L.bound,U.bound,n.obs,p,BIC
,Concepts,GINI,Balance,y_5,2013,0,1,0.0217125121522703,0.0181891815024371,-0.0140700659518256,0.0587937554571667,2825,0.237630470546143,27430.9120336721
,Concepts,GINI,Balance,y_5,2018,0,1,0.0139743223146889,0.0167454274956505,-0.0187645648058326,0.0478055412971128,3003,0.407252353845631,30216.0884670947
MKTG,Concepts,LC,Integration,y_3,2013,0,0,0.117918745416958,0.0317069292590895,0.0505609442800008,0.189595261616291,628,0.000438771230596455,5083.56763971344
MKTG,Concepts,LC,Integration,y_3,2018,0,0,0.126301517541435,0.0306906656239894,0.0605489719793668,0.196130628507005,698,0.000106440204875009,6136.89480599198
FINAC,Concepts,LC,Integration,y_3,2013,0,0,-0.0186466658510471,0.0707930067719547,-0.145786785251934,0.127416843731809,568,0.790328777074577,5078.37984575868
FINAC,Concepts,LC,Integration,y_3,2018,0,0,-0.0133593647938544,0.0471437949340144,-0.100440017982705,0.0821510099381795,754,0.775426025170202,6930.88102655691
MGMT,Concepts,LC,Integration,y_3,2013,0,0,0.0300925282758533,0.0247417893768422,-0.0186679392647,0.0812758079203868,1629,0.230791670082523,13517.986954204
MGMT,Concepts,LC,Integration,y_3,2018,0,0,0.0747997355661512,0.023963738955487,0.0254856307028364,0.126485283641989,1551,0.00261122182545954,13292.3630379586
,Concepts,LC,Integration,y_3,2013,0,0,-0.00384588174719958,0.0181233201717741,-0.0386092557966299,0.0321745172762979,2825,0.831626993097613,23747.8059279804
,Concepts,LC,Integration,y_3,2018,0,0,0.0465975765393283,0.0164743099473819,0.0133436881131224,0.0809427246323522,3003,0.00569966424730115,26412.9800665339
MKTG,Concepts,LC,Integration,y_3,2013,0,1,0.131352066205016,0.0316018016627715,0.0634039569591187,0.203641842152338,628,9.41218621642505e-05,5079.88993575996
MKTG,Concepts,LC,Integration,y_3,2018,0,1,0.115410244086015,0.0301607815143146,0.0513848749213521,0.183334516491965,698,0.000293087629081033,6121.13800750333
FINAC,Concepts,LC,Integration,y_3,2013,0,1,-0.0219777640207822,0.0710459686996508,-0.149108293513543,0.124147158537399,568,0.754435887626176,5079.98129549428
FINAC,Concepts,LC,Integration,y_3,2018,0,1,0.0248455340851845,0.046505751063606,-0.064437844353577,0.122649481272188,754,0.597695364059374,6896.92583117105
MGMT,Concepts,LC,Integration,y_3,2013,0,1,0.0371588000399281,0.024768915097492,-0.0119886860413123,0.0887510712708726,1629,0.140746249504381,13507.5637677968
MGMT,Concepts,LC,Integration,y_3,2018,0,1,0.0734849794476182,0.0238739712564342,0.0244114189830877,0.124909367218482,1551,0.00297610929709475,13284.1396584071
,Concepts,LC,Integration,y_3,2013,0,1,0.00101361263517474,0.0180891957236331,-0.0338547298044742,0.0371403593148429,2825,0.955337213155788,23729.686373153
,Concepts,LC,Integration,y_3,2018,0,1,0.0441591126878949,0.0163316763646704,0.0112653688560365,0.0781228015773003,3003,0.00814753409434436,26354.5894592902
MKTG,Concepts,LC,Integration,y_5,2013,0,0,0.137721975369422,0.0321381310026052,0.0682677556903955,0.211691812603622,628,5.94975768531668e-05,5900.60281451091
MKTG,Concepts,LC,Integration,y_5,2018,0,0,0.113488781471884,0.0316437273083168,0.046527527378404,0.184734499597575,698,0.000680944273319452,7017.24196870917
FINAC,Concepts,LC,Integration,y_5,2013,0,0,0.0252973099847773,0.0698964698867534,-0.105966412470872,0.175833423403426,568,0.720774913544866,5761.32617107117
FINAC,Concepts,LC,Integration,y_5,2018,0,0,-0.0184053015125784,0.0481245923606402,-0.106759354250694,0.0786882086969347,754,0.699485991156045,7800.92885469407
MGMT,Concepts,LC,Integration,y_5,2013,0,0,0.0351255060971132,0.0251022202067049,-0.0145695874946855,0.0873267150835229,1629,0.169043421339344,15747.5469157089
MGMT,Concepts,LC,Integration,y_5,2018,0,0,0.0727085052449845,0.0243929615176726,0.0226296902874408,0.125239711064412,1551,0.0040104742377003,15458.3542091475
,Concepts,LC,Integration,y_5,2013,0,0,0.0141156200658761,0.0182556839530984,-0.0215284431263997,0.0510581361686429,2825,0.442599235917327,27455.1111617771
,Concepts,LC,Integration,y_5,2018,0,0,0.0470154782709236,0.0167937541326447,0.0131138034652873,0.082051599720852,3003,0.00622360111901743,30287.3985141546
MKTG,Concepts,LC,Integration,y_5,2013,0,1,0.150627398426003,0.0320419030746528,0.0805891281464484,0.225205191800858,628,1.19295763543858e-05,5897.78564929168
MKTG,Concepts,LC,Integration,y_5,2018,0,1,0.101900212592856,0.0309577020914845,0.0370292905343832,0.17082910733072,698,0.00172161692166876,6996.51885244232
FINAC,Concepts,LC,Integration,y_5,2013,0,1,0.0200988178177461,0.0700655805698044,-0.110794144388458,0.170259497894895,568,0.776400778175708,5760.16502222228
FINAC,Concepts,LC,Integration,y_5,2018,0,1,0.0280081600310904,0.0474714656959859,-0.0633253275717495,0.128247414175127,754,0.560641718888854,7762.05690126787
MGMT,Concepts,LC,Integration,y_5,2013,0,1,0.0429949253375681,0.0251284446606025,-0.00712900319920384,0.0956493016566349,1629,0.0938860992590599,15734.6141152563
MGMT,Concepts,LC,Integration,y_5,2018,0,1,0.0701838152459502,0.0242529464651096,0.0205028766004167,0.122283361150018,1551,0.00516129001889184,15441.8068530946
,Concepts,LC,Integration,y_5,2013,0,1,0.0199500120267884,0.0182113604362667,-0.0158136229422076,0.0570132357891378,2825,0.278060493384225,27431.1155963662
,Concepts,LC,Integration,y_5,2018,0,1,0.0440952558411485,0.0166034247415213,0.0106650828521284,0.0786312120268353,3003,0.00935216029238984,30209.9154012129
MKTG,Concepts,LWBR,Integration,y_3,2013,0,0,0.0798229380213658,0.0336924536718762,0.010819194404339,0.153537233890984,628,0.0226459381007445,5090.84442794328
MKTG,Concepts,LWBR,Integration,y_3,2018,0,0,0.0797952427588378,0.0335790689734727,0.0110179224215732,0.153251332569788,698,0.02223739685273,6146.95027299372
FINAC,Concepts,LWBR,Integration,y_3,2013,0,0,-0.0225844042226098,0.0589564233965227,-0.129246024721113,0.0971425614943555,568,0.698414661729241,5078.30078432964
FINAC,Concepts,LWBR,Integration,y_3,2018,0,0,0.0352440211468286,0.0432902052868809,-0.0489703841214416,0.126915676890035,754,0.423643829265872,6930.31683038428
MGMT,Concepts,LWBR,Integration,y_3,2013,0,0,0.021368087909867,0.023777466279712,-0.0251386139921281,0.0700934368450144,1629,0.373894060532267,13518.63938969
MGMT,Concepts,LWBR,Integration,y_3,2018,0,0,0.102535959564929,0.0220043507134844,0.0559968573557486,0.151126098213612,1551,9.16140545877922e-06,13281.7236607407
,Concepts,LWBR,Integration,y_3,2013,0,0,-0.0159514909863125,0.0180243046426119,-0.0501080838299814,0.0194333182626418,2825,0.372321399221795,23747.0570400115
,Concepts,LWBR,Integration,y_3,2018,0,0,0.0535379872987958,0.0163990921928879,0.0202139719529737,0.0879504899907015,3003,0.00147123309409125,26410.538892753
MKTG,Concepts,LWBR,Integration,y_3,2013,0,1,0.0943546103871606,0.0336418138402513,0.0245239330101748,0.168944887170089,628,0.00735912330280182,5088.09874993463
MKTG,Concepts,LWBR,Integration,y_3,2018,0,1,0.0773839842671829,0.0329026505952565,0.0100985050222413,0.149151536987842,698,0.0234914961630961,6129.35524228943
FINAC,Concepts,LWBR,Integration,y_3,2013,0,1,-0.021724832050933,0.0590793268772389,-0.12869016633529,0.0983719765913358,568,0.710059446725769,5079.94088820429
FINAC,Concepts,LWBR,Integration,y_3,2018,0,1,0.079660985788512,0.0428680397299042,-0.00734561228721142,0.174293750838779,754,0.0737796405876847,6893.9612379315
MGMT,Concepts,LWBR,Integration,y_3,2013,0,1,0.0304186565399958,0.0238495689391716,-0.0166391285552251,0.0797283465079561,1629,0.208962109728218,13508.1663477482
MGMT,Concepts,LWBR,Integration,y_3,2018,0,1,0.105509813702839,0.0219543060257038,0.0589490450083605,0.154117805719007,1551,4.90336478380553e-06,13272.0382468075
,Concepts,LWBR,Integration,y_3,2013,0,1,-0.00960051700271647,0.0180225258107285,-0.0439742207632288,0.0260090859729392,2825,0.592463870944962,23729.4032519688
,Concepts,LWBR,Integration,y_3,2018,0,1,0.0575411423346304,0.0162830790490757,0.0243233906784457,0.0918361114351627,3003,0.000590655169962175,26349.7792877969
MKTG,Concepts,LWBR,Integration,y_5,2013,0,0,0.101305555339505,0.0340603618191251,0.0301858903825856,0.17733502035368,628,0.00460992439879252,5908.87026266462
MKTG,Concepts,LWBR,Integration,y_5,2018,0,0,0.0642000793920803,0.0346074551861076,-0.00559026397385376,0.138888496309264,698,0.0721806099225202,7025.75978613713
FINAC,Concepts,LWBR,Integration,y_5,2013,0,0,-0.00109903296798153,0.0583529910127967,-0.109052163503851,0.119934412615653,568,0.984965093981879,5761.45494731479
FINAC,Concepts,LWBR,Integration,y_5,2018,0,0,0.0293786878563636,0.0441520993961083,-0.0559546937674237,0.12242545566117,754,0.511946144505551,7800.6437863769
MGMT,Concepts,LWBR,Integration,y_5,2013,0,0,0.0238568525406675,0.0240057248111385,-0.0232002690715194,0.0731809410902009,1629,0.326036179100235,15748.4850065221
MGMT,Concepts,LWBR,Integration,y_5,2018,0,0,0.0928898559882567,0.0223812750199122,0.0459849097903908,0.141898153732815,1551,7.22540632289759e-05,15450.8806242701
,Concepts,LWBR,Integration,y_5,2013,0,0,-0.000730786959996066,0.0180750487709871,-0.0355116241693455,0.0353042972338662,2825,0.967737968065154,27455.7016132849
,Concepts,LWBR,Integration,y_5,2018,0,0,0.0517727868203686,0.0166494915579994,0.0180048731116913,0.0866608051831144,3003,0.00243139864378116,30285.7306135021
MKTG,Concepts,LWBR,Integration,y_5,2013,0,1,0.11551334509111,0.0340296612392077,0.0435389652008058,0.192451901244442,628,0.00131660398305352,5906.85004226899
MKTG,Concepts,LWBR,Integration,y_5,2018,0,1,0.0612080049059676,0.0337704871446739,-0.00675811257955372,0.133824946309168,698,0.0785493489218903,7003.43108567779
FINAC,Concepts,LWBR,Integration,y_5,2013,0,1,-0.00143359492140505,0.0584296981901902,-0.109484461823506,0.119727643824631,568,0.980411520535907,5760.24593745126
FINAC,Concepts,LWBR,Integration,y_5,2018,0,1,0.0814143452508911,0.0436362288608747,-0.00722941481366868,0.177973041873435,754,0.0728630430255138,7759.12980868789
MGMT,Concepts,LWBR,Integration,y_5,2013,0,1,0.0333269158542386,0.0240715978070512,-0.0142927275784673,0.0832470703048729,1629,0.173222847086607,15735.583799486
MGMT,Concepts,LWBR,Integration,y_5,2018,0,1,0.0961232965229386,0.0222881572630528,0.0492710589495944,0.145067588524837,1551,3.8239439121846e-05,15432.6389183341
,Concepts,LWBR,Integration,y_5,2013,0,1,0.00649618960646436,0.018064054856463,-0.0285152587101059,0.0427694194633153,2825,0.720001615447411,27432.1708105343
,Concepts,LWBR,Integration,y_5,2018,0,1,0.0562727538673913,0.0164900517414213,0.0226798992683241,0.0909690621286665,3003,0.000900278161971022,30205.6473612134
MKTG,Concepts,HEL,Nonconformity,y_3,2013,0,0,-0.0614601091598115,0.0333960901351766,-0.12092499310147,0.00202726705434464,628,0.057522190325939,5092.42660440635
MKTG,Concepts,HEL,Nonconformity,y_3,2018,0,0,0.0615495731248998,0.0337422479382865,-0.0063834274386797,0.1341271143423,698,0.0766979021123723,6149.10885411879
FINAC,Concepts,HEL,Nonconformity,y_3,2013,0,0,0.0971107727550478,0.0482844980799375,-0.00195381197383215,0.206008361271973,568,0.0549261663587098,5074.77882935493
FINAC,Concepts,HEL,Nonconformity,y_3,2018,0,0,0.0342141635359743,0.0355622129337686,-0.0354164069018028,0.108871168566027,754,0.344148261911694,6930.0647137178
MGMT,Concepts,HEL,Nonconformity,y_3,2013,0,0,0.00024223228375142,0.0242881416511301,-0.0462576142841406,0.0490091855286889,1629,0.992043574409943,13519.4322154233
MGMT,Concepts,HEL,Nonconformity,y_3,2018,0,0,-0.0555924281478045,0.0213343542933377,-0.0942681809479305,-0.0152651778257938,1551,0.0073401978117669,13294.394722124
,Concepts,HEL,Nonconformity,y_3,2013,0,0,-0.00607946183632191,0.018677743344115,-0.0418066755071297,0.030979877371214,2825,0.744056870547367,23747.744462734
